<Mach-1 File>
<INFO>
Date:	Tue, Apr 07, 2026
Time:	16:50:02.929
Mach-1 Motion Software Version:	4.5.0.1
Mach-1 System S/N:	MA0561195
Mach-1 System Model:	V500c
Load Cell Name:	100N-SN195168
Load Cell Type:	Single-axis
Load Cell Calibration Factor:	1.003782
Load Cell Offset:	31.000000
Load Cell Calibration Date:	2025-08-20
Load Cell Low-pass filter:	Yes
Load Cell Low-pass filter Order:	3
Load Cell Low-pass filter Cutoff frequency (Hz):	20.00
<END INFO>
<Find Contact>
Stage Axis:	Position (z)
Load Cell Axis:	Fz
Direction:	Positive
Contact Criteria, gf:	1.000000
Stage Velocity, mm/s:	0.2000
Stage Limit, mm:	10.0000
Stage Repositioning:	None
Offset, mm:	0.0000
<DATA>
Time, s	Position (z), mm	Fz, gf
0.000000	16.278000	0.000000
0.010000	16.278000	0.501891
0.020000	16.278000	0.501891
0.030000	16.278000	0.501891
0.040000	16.278000	0.501891
0.050000	16.278000	0.501891
0.060000	16.278000	0.000000
0.070000	16.278000	0.000000
0.080000	16.278000	0.000000
0.090000	16.278000	0.000000
0.100000	16.278000	0.000000
0.110000	16.278000	0.000000
0.120000	16.278000	0.000000
0.130000	16.278000	0.501891
0.140000	16.278000	0.501891
0.150000	16.278000	0.501891
0.160000	16.278000	0.000000
0.170000	16.278000	0.000000
0.180000	16.278000	0.000000
0.190000	16.278000	0.501891
0.200000	16.278000	0.501891
0.210000	16.278000	0.000000
0.220000	16.278000	0.000000
0.230000	16.278000	0.000000
0.240000	16.278000	0.000000
0.250000	16.278000	0.000000
0.260000	16.278000	0.000000
0.270000	16.278000	0.000000
0.280000	16.278054	0.000000
0.290000	16.278282	0.501891
0.300000	16.278671	0.501891
0.310000	16.279966	0.000000
0.320000	16.282299	0.000000
0.330000	16.284951	0.000000
0.340000	16.287403	0.000000
0.350000	16.289696	0.000000
0.360000	16.291921	0.000000
0.370000	16.294093	0.000000
0.380000	16.296254	0.000000
0.390000	16.298337	0.000000
0.400000	16.300364	0.000000
0.410000	16.302320	0.501891
0.420000	16.304308	0.501891
0.430000	16.306457	0.501891
0.440000	16.308647	0.000000
0.450000	16.310705	0.000000
0.460000	16.312721	0.501891
0.470000	16.314741	0.501891
0.480000	16.316877	0.000000
0.490000	16.319183	0.000000
0.500000	16.321463	0.000000
0.510000	16.323564	0.000000
0.520000	16.325560	0.501891
0.530000	16.327547	0.501891
0.540000	16.329486	0.000000
0.550000	16.331443	0.000000
0.560000	16.333404	0.501891
0.570000	16.335248	0.501891
0.580000	16.337000	0.501891
0.590000	16.338780	0.000000
0.600000	16.340705	0.000000
0.610000	16.342737	0.000000
0.620000	16.344824	0.000000
0.630000	16.346885	0.000000
0.640000	16.348827	0.501891
0.650000	16.350762	0.501891
0.660000	16.352752	0.000000
0.670000	16.354761	0.000000
0.680000	16.356770	0.000000
0.690000	16.358782	0.501891
0.700000	16.360817	0.501891
0.710000	16.363038	0.501891
0.720000	16.365348	0.000000
0.730000	16.367485	0.000000
0.740000	16.369396	0.000000
0.750000	16.371059	0.000000
0.760000	16.372713	0.501891
0.770000	16.374558	0.501891
0.780000	16.376539	0.000000
0.790000	16.378620	0.000000
0.800000	16.380683	0.000000
0.810000	16.382705	0.000000
0.820000	16.384742	0.000000
0.830000	16.386714	0.000000
0.840000	16.388680	0.000000
0.850000	16.390684	0.000000
0.860000	16.392682	0.000000
0.870000	16.394709	0.000000
0.880000	16.396749	0.000000
0.890000	16.398831	0.501891
0.900000	16.401128	0.000000
0.910000	16.403427	0.000000
0.920000	16.405525	0.000000
0.930000	16.407493	0.000000
0.940000	16.409449	0.501891
0.950000	16.411447	0.501891
0.960000	16.413364	0.501891
0.970000	16.415014	0.501891
0.980000	16.416708	0.501891
0.990000	16.418689	0.501891
1.000000	16.420938	0.501891
1.010000	16.423303	0.000000
1.020000	16.425520	0.000000
1.030000	16.427541	0.000000
1.040000	16.429490	0.501891
1.050000	16.431451	0.501891
1.060000	16.433336	0.000000
1.070000	16.434966	0.501891
1.080000	16.436686	0.000000
1.090000	16.438687	0.000000
1.100000	16.440776	0.000000
1.110000	16.442793	0.501891
