<Mach-1 File>
<INFO>
Date:	Tue, Apr 07, 2026
Time:	16:45:48.429
Mach-1 Motion Software Version:	4.5.0.1
Mach-1 System S/N:	MA0561195
Mach-1 System Model:	V500c
Load Cell Name:	100N-SN195168
Load Cell Type:	Single-axis
Load Cell Calibration Factor:	1.003782
Load Cell Offset:	31.000000
Load Cell Calibration Date:	2025-08-20
Load Cell Low-pass filter:	Yes
Load Cell Low-pass filter Order:	3
Load Cell Low-pass filter Cutoff frequency (Hz):	20.00
<END INFO>
<Find Contact>
Stage Axis:	Position (z)
Load Cell Axis:	Fz
Direction:	Positive
Contact Criteria, gf:	1.000000
Stage Velocity, mm/s:	0.2000
Stage Limit, mm:	10.0000
Stage Repositioning:	None
Offset, mm:	0.0000
<DATA>
Time, s	Position (z), mm	Fz, gf
0.000000	16.372000	0.000000
0.010000	16.372000	0.000000
0.020000	16.372000	0.000000
0.030000	16.372000	0.000000
0.040000	16.372000	0.000000
0.050000	16.372000	0.000000
0.060000	16.372000	0.000000
0.070000	16.372000	0.000000
0.080000	16.372000	0.000000
0.090000	16.372000	0.000000
0.100000	16.372000	0.000000
0.110000	16.372000	0.000000
0.120000	16.372000	0.000000
0.130000	16.372000	0.000000
0.140000	16.372000	0.000000
0.150000	16.372000	0.000000
0.160000	16.372000	0.000000
0.170000	16.372000	0.000000
0.180000	16.372000	0.000000
0.190000	16.372000	0.000000
0.200000	16.372000	0.000000
0.210000	16.372000	0.000000
0.220000	16.372025	0.000000
0.230000	16.372209	0.000000
0.240000	16.372556	0.000000
0.250000	16.373626	0.501891
0.260000	16.375727	0.501891
0.270000	16.378312	0.501891
0.280000	16.380796	0.501891
0.290000	16.383050	0.501891
0.300000	16.385219	0.501891
0.310000	16.387342	0.501891
0.320000	16.389448	0.501891
0.330000	16.391539	0.501891
0.340000	16.393591	0.501891
0.350000	16.395701	0.501891
0.360000	16.397855	0.000000
0.370000	16.399979	0.000000
0.380000	16.402034	0.000000
0.390000	16.404014	0.000000
0.400000	16.405972	0.501891
0.410000	16.407960	0.501891
0.420000	16.409987	0.000000
0.430000	16.412015	0.000000
0.440000	16.413982	0.000000
0.450000	16.415925	0.501891
0.460000	16.417952	0.501891
0.470000	16.420097	0.000000
0.480000	16.422384	0.000000
0.490000	16.424651	0.000000
0.500000	16.426764	0.501891
0.510000	16.428759	0.501891
0.520000	16.430762	0.501891
0.530000	16.432719	0.501891
0.540000	16.434480	0.000000
0.550000	16.436099	0.000000
0.560000	16.437927	0.501891
0.570000	16.439969	0.000000
0.580000	16.442022	0.000000
0.590000	16.444032	0.501891
0.600000	16.446003	0.501891
0.610000	16.447975	0.000000
0.620000	16.449978	0.000000
0.630000	16.451992	0.000000
0.640000	16.453999	0.501891
0.650000	16.455996	0.000000
0.660000	16.458003	0.000000
0.670000	16.459993	0.000000
0.680000	16.462003	0.501891
0.690000	16.464006	0.501891
0.700000	16.466007	0.501891
0.710000	16.468041	0.000000
0.720000	16.470146	0.000000
0.730000	16.472224	0.000000
0.740000	16.474357	0.000000
0.750000	16.476608	0.000000
0.760000	16.478754	0.000000
0.770000	16.480758	0.000000
0.780000	16.482719	0.000000
0.790000	16.484685	0.000000
0.800000	16.486576	0.000000
0.810000	16.488343	0.000000
0.820000	16.490115	0.000000
0.830000	16.492022	0.000000
0.840000	16.494037	0.000000
0.850000	16.496050	0.501891
0.860000	16.498026	0.501891
0.870000	16.499978	0.501891
0.880000	16.501938	0.501891
0.890000	16.503959	0.000000
0.900000	16.506003	0.000000
0.910000	16.508020	0.000000
0.920000	16.510039	0.000000
0.930000	16.512218	0.000000
0.940000	16.514537	0.000000
0.950000	16.516690	0.000000
0.960000	16.518461	0.000000
0.970000	16.520030	0.000000
0.980000	16.521781	0.000000
0.990000	16.523762	0.000000
1.000000	16.525846	0.000000
1.010000	16.527936	0.000000
1.020000	16.529982	0.000000
1.030000	16.531993	0.000000
1.040000	16.534001	0.000000
1.050000	16.535992	0.000000
1.060000	16.537987	0.000000
1.070000	16.539967	0.501891
1.080000	16.541935	0.501891
1.090000	16.543949	0.000000
1.100000	16.545981	0.000000
1.110000	16.547998	0.000000
1.120000	16.549975	0.000000
1.130000	16.551947	0.000000
1.140000	16.553939	0.000000
1.150000	16.555931	0.000000
1.160000	16.557959	0.000000
1.170000	16.559991	0.000000
1.180000	16.561947	0.000000
1.190000	16.563887	0.000000
1.200000	16.565904	0.501891
1.210000	16.567958	0.000000
1.220000	16.569993	0.000000
1.230000	16.572015	0.000000
1.240000	16.574063	0.000000
1.250000	16.576128	0.000000
1.260000	16.578101	0.000000
1.270000	16.580063	0.000000
1.280000	16.582062	0.000000
1.290000	16.584096	0.000000
1.300000	16.586307	0.000000
1.310000	16.588634	0.000000
1.320000	16.590809	0.000000
1.330000	16.592814	0.000000
1.340000	16.594726	0.000000
1.350000	16.596525	0.000000
1.360000	16.598172	0.000000
1.370000	16.599944	0.000000
1.380000	16.601928	0.000000
1.390000	16.603995	0.501891
1.400000	16.606036	0.000000
1.410000	16.608025	0.000000
1.420000	16.610023	0.000000
1.430000	16.612050	0.000000
1.440000	16.614061	0.000000
1.450000	16.616057	0.000000
1.460000	16.618150	0.501891
1.470000	16.620372	0.000000
1.480000	16.622711	0.000000
1.490000	16.624934	0.000000
1.500000	16.626922	0.000000
1.510000	16.628809	0.501891
1.520000	16.630731	0.501891
1.530000	16.632634	0.501891
1.540000	16.634428	0.000000
1.550000	16.636229	0.000000
1.560000	16.638387	0.000000
1.570000	16.640705	0.000000
1.580000	16.642852	0.000000
1.590000	16.644793	0.000000
1.600000	16.646726	0.000000
1.610000	16.648701	0.000000
1.620000	16.650701	0.000000
1.630000	16.652685	0.000000
1.640000	16.654663	0.000000
1.650000	16.656712	0.000000
1.660000	16.658748	0.501891
1.670000	16.660741	0.501891
1.680000	16.662730	0.000000
1.690000	16.664679	0.501891
1.700000	16.666544	0.000000
1.710000	16.668203	0.000000
1.720000	16.669924	0.000000
1.730000	16.671892	0.000000
1.740000	16.673926	0.000000
1.750000	16.675966	0.000000
1.760000	16.678076	0.000000
1.770000	16.680273	0.000000
1.780000	16.682496	0.501891
1.790000	16.684681	0.501891
1.800000	16.686697	0.501891
1.810000	16.688444	0.000000
1.820000	16.690112	0.000000
1.830000	16.692051	0.000000
1.840000	16.694171	0.000000
1.850000	16.696187	0.000000
1.860000	16.698184	0.000000
1.870000	16.700386	0.000000
1.880000	16.702681	0.000000
1.890000	16.704798	0.000000
1.900000	16.706733	0.000000
1.910000	16.708671	0.000000
1.920000	16.710632	0.000000
1.930000	16.712435	0.000000
1.940000	16.714098	0.000000
1.950000	16.715920	0.000000
1.960000	16.717883	0.000000
1.970000	16.719899	0.501891
1.980000	16.721944	0.501891
1.990000	16.723959	0.501891
2.000000	16.725971	0.501891
2.010000	16.727993	0.000000
2.020000	16.730006	0.000000
2.030000	16.732029	0.000000
2.040000	16.734047	0.000000
2.050000	16.736057	0.000000
2.060000	16.738047	0.501891
2.070000	16.740014	0.000000
2.080000	16.741981	0.000000
2.090000	16.743984	0.000000
2.100000	16.745992	0.000000
2.110000	16.747980	0.501891
2.120000	16.749994	0.501891
2.130000	16.752021	0.501891
2.140000	16.754013	0.000000
2.150000	16.755993	0.000000
2.160000	16.757979	0.000000
2.170000	16.759966	0.000000
2.180000	16.761972	0.000000
2.190000	16.764000	0.000000
2.200000	16.766059	0.000000
2.210000	16.768155	0.000000
2.220000	16.770330	0.000000
2.230000	16.772548	0.000000
2.240000	16.774706	0.000000
2.250000	16.776710	0.501891
2.260000	16.778618	0.501891
2.270000	16.780499	0.000000
2.280000	16.782239	0.000000
2.290000	16.784031	0.000000
2.300000	16.785987	0.000000
2.310000	16.788002	0.000000
2.320000	16.790004	0.000000
2.330000	16.791951	0.000000
2.340000	16.793933	0.000000
2.350000	16.795968	0.000000
2.360000	16.798021	0.000000
2.370000	16.800019	0.000000
2.380000	16.801989	0.000000
2.390000	16.804002	0.000000
2.400000	16.806120	0.000000
2.410000	16.808439	0.000000
2.420000	16.810710	0.000000
2.430000	16.812793	0.501891
2.440000	16.814754	0.501891
2.450000	16.816709	0.000000
2.460000	16.818595	0.000000
2.470000	16.820266	0.000000
2.480000	16.821993	0.000000
2.490000	16.823909	0.000000
2.500000	16.825900	0.000000
2.510000	16.827899	0.000000
2.520000	16.829912	0.000000
2.530000	16.831971	0.000000
2.540000	16.834014	0.501891
2.550000	16.836042	0.501891
2.560000	16.838137	0.000000
2.570000	16.840400	0.000000
2.580000	16.842750	0.000000
2.590000	16.844941	0.501891
2.600000	16.846911	0.501891
2.610000	16.848800	0.501891
2.620000	16.850722	0.501891
2.630000	16.852720	0.000000
2.640000	16.854698	0.000000
2.650000	16.856586	0.000000
2.660000	16.858301	0.000000
2.670000	16.860073	0.000000
2.680000	16.862062	0.000000
2.690000	16.864187	0.000000
2.700000	16.866359	0.000000
2.710000	16.868353	0.000000
2.720000	16.870134	0.000000
2.730000	16.871977	0.000000
2.740000	16.873947	0.000000
2.750000	16.876012	0.000000
2.760000	16.878086	0.000000
2.770000	16.880108	0.000000
2.780000	16.882208	0.000000
2.790000	16.884423	0.000000
2.800000	16.886650	0.000000
2.810000	16.888700	0.000000
2.820000	16.890439	0.000000
2.830000	16.892106	0.000000
2.840000	16.893976	0.501891
2.850000	16.895988	0.501891
2.860000	16.898005	0.501891
2.870000	16.900019	0.000000
2.880000	16.902044	0.000000
2.890000	16.904038	0.000000
2.900000	16.906134	0.000000
2.910000	16.908400	0.000000
2.920000	16.910701	0.000000
2.930000	16.912887	0.000000
2.940000	16.914943	0.000000
2.950000	16.916920	0.000000
2.960000	16.918855	0.501891
2.970000	16.920796	0.501891
2.980000	16.922784	0.501891
2.990000	16.924794	0.501891
3.000000	16.926761	0.501891
3.010000	16.928703	0.501891
3.020000	16.930647	0.501891
3.030000	16.932525	0.501891
3.040000	16.934233	0.501891
3.050000	16.935981	0.501891
3.060000	16.937895	0.501891
3.070000	16.939928	0.501891
3.080000	16.941956	0.501891
3.090000	16.943965	1.003782
3.100000	16.945962	1.003782
3.110000	16.947971	1.003782
3.120000	16.949996	1.003782
3.130000	16.952029	1.003782
3.140000	16.953597	1.003782
3.150000	16.954304	1.003782
3.160000	16.954514	1.003782
3.170000	16.954521	1.003782
3.180000	16.954495	1.003782
3.190000	16.954488	1.003782
<END DATA>
<INFO>
Date:	Tue, Apr 07, 2026
Time:	16:45:51.629
Mach-1 Motion Software Version:	4.5.0.1
Mach-1 System S/N:	MA0561195
Mach-1 System Model:	V500c
Load Cell Name:	100N-SN195168
Load Cell Type:	Single-axis
Load Cell Calibration Factor:	1.003782
Load Cell Offset:	31.000000
Load Cell Calibration Date:	2025-08-20
Load Cell Low-pass filter:	Yes
Load Cell Low-pass filter Order:	3
