<Mach-1 File>
<INFO>
Date:	Tue, Apr 07, 2026
Time:	16:32:34.429
Mach-1 Motion Software Version:	4.5.0.1
Mach-1 System S/N:	MA0561195
Mach-1 System Model:	V500c
Load Cell Name:	100N-SN195168
Load Cell Type:	Single-axis
Load Cell Calibration Factor:	1.003782
Load Cell Offset:	31.000000
Load Cell Calibration Date:	2025-08-20
Load Cell Low-pass filter:	Yes
Load Cell Low-pass filter Order:	3
Load Cell Low-pass filter Cutoff frequency (Hz):	20.00
<END INFO>
<Find Contact>
Stage Axis:	Position (z)
Load Cell Axis:	Fz
Direction:	Positive
Contact Criteria, gf:	1.000000
Stage Velocity, mm/s:	0.2000
Stage Limit, mm:	10.0000
Stage Repositioning:	None
Offset, mm:	0.0000
<DATA>
Time, s	Position (z), mm	Fz, gf
0.000000	16.352000	0.000000
0.010000	16.352000	0.000000
0.020000	16.352000	0.000000
0.030000	16.352000	0.000000
0.040000	16.352000	0.000000
0.050000	16.352000	0.000000
0.060000	16.352000	0.000000
0.070000	16.352000	0.000000
0.080000	16.352000	0.000000
0.090000	16.352000	0.000000
0.100000	16.352000	0.000000
0.110000	16.352000	0.501891
0.120000	16.352000	0.000000
0.130000	16.352000	0.000000
0.140000	16.352000	0.000000
0.150000	16.352000	0.000000
0.160000	16.352000	0.000000
0.170000	16.352000	0.000000
0.180000	16.352000	0.000000
0.190000	16.352000	0.000000
0.200000	16.352000	0.000000
0.210000	16.352000	0.000000
0.220000	16.352000	0.000000
0.230000	16.352000	0.000000
0.240000	16.352000	0.000000
0.250000	16.352000	0.000000
0.260000	16.352000	0.000000
0.270000	16.352000	0.000000
0.280000	16.352000	0.000000
0.290000	16.352014	0.000000
0.300000	16.352156	0.000000
0.310000	16.352409	0.000000
0.320000	16.353049	0.000000
0.330000	16.354843	0.000000
0.340000	16.357480	0.000000
0.350000	16.360153	0.000000
0.360000	16.362592	0.000000
0.370000	16.364843	0.000000
0.380000	16.366945	0.501891
0.390000	16.368967	0.501891
0.400000	16.370985	0.000000
0.410000	16.373044	0.000000
0.420000	16.375100	0.000000
0.430000	16.377114	0.000000
0.440000	16.379175	0.000000
0.450000	16.381213	0.000000
0.460000	16.383237	0.000000
0.470000	16.385247	0.000000
0.480000	16.387249	0.000000
0.490000	16.389262	0.000000
0.500000	16.391280	0.000000
0.510000	16.393343	0.000000
0.520000	16.395421	0.000000
0.530000	16.397506	0.501891
0.540000	16.399570	0.000000
0.550000	16.401644	0.000000
0.560000	16.403641	0.000000
0.570000	16.405525	0.000000
0.580000	16.407408	0.000000
0.590000	16.409396	0.000000
0.600000	16.411436	0.000000
0.610000	16.413463	0.000000
0.620000	16.415435	0.000000
0.630000	16.417437	0.000000
0.640000	16.419523	0.000000
0.650000	16.421832	0.000000
0.660000	16.424122	0.000000
0.670000	16.426234	0.000000
0.680000	16.428210	0.000000
0.690000	16.430170	0.501891
0.700000	16.432169	0.000000
0.710000	16.434067	0.000000
0.720000	16.435698	0.000000
0.730000	16.437377	0.000000
0.740000	16.439376	0.000000
0.750000	16.441578	0.501891
0.760000	16.443802	0.000000
0.770000	16.446022	0.000000
0.780000	16.448113	0.000000
0.790000	16.449898	0.000000
0.800000	16.451552	0.000000
0.810000	16.453384	0.000000
0.820000	16.455399	0.501891
0.830000	16.457430	0.501891
0.840000	16.459432	0.000000
0.850000	16.461420	0.000000
0.860000	16.463419	0.501891
0.870000	16.465425	0.501891
0.880000	16.467427	0.501891
0.890000	16.469433	0.000000
0.900000	16.471448	0.000000
0.910000	16.473527	0.000000
0.920000	16.475821	0.000000
0.930000	16.478087	0.000000
0.940000	16.480101	0.000000
0.950000	16.481925	0.000000
0.960000	16.483747	0.000000
0.970000	16.485727	0.000000
0.980000	16.487823	0.000000
0.990000	16.489933	0.000000
1.000000	16.492050	0.000000
1.010000	16.494136	0.501891
1.020000	16.496057	0.501891
1.030000	16.497723	0.000000
1.040000	16.499446	0.000000
1.050000	16.501350	0.000000
1.060000	16.503364	0.000000
1.070000	16.505413	0.000000
1.080000	16.507445	0.501891
1.090000	16.509468	0.000000
1.100000	16.511580	0.000000
1.110000	16.513886	0.000000
1.120000	16.516123	0.000000
1.130000	16.518128	0.000000
1.140000	16.519820	0.000000
1.150000	16.521431	0.000000
1.160000	16.523272	0.000000
1.170000	16.525297	0.000000
1.180000	16.527315	0.000000
1.190000	16.529294	0.000000
1.200000	16.531330	0.000000
1.210000	16.533383	0.000000
1.220000	16.535413	0.000000
1.230000	16.537398	0.000000
1.240000	16.539375	0.000000
1.250000	16.541316	0.000000
1.260000	16.543257	0.501891
1.270000	16.545253	0.501891
1.280000	16.547286	0.000000
1.290000	16.549306	0.000000
1.300000	16.551259	0.501891
1.310000	16.553217	0.000000
1.320000	16.555214	0.000000
1.330000	16.557241	0.000000
1.340000	16.559304	0.000000
1.350000	16.561377	0.501891
1.360000	16.563346	0.000000
1.370000	16.565263	0.000000
1.380000	16.567272	0.501891
1.390000	16.569351	0.501891
1.400000	16.571414	0.501891
1.410000	16.573469	0.000000
1.420000	16.575540	0.000000
1.430000	16.577564	0.000000
1.440000	16.579517	0.501891
1.450000	16.581574	0.501891
1.460000	16.583857	0.000000
1.470000	16.586146	0.000000
1.480000	16.588235	0.000000
1.490000	16.590198	0.501891
1.500000	16.592164	0.501891
1.510000	16.594154	0.000000
1.520000	16.596082	0.000000
1.530000	16.597841	0.000000
1.540000	16.599539	0.501891
1.550000	16.601410	0.501891
1.560000	16.603423	0.501891
1.570000	16.605450	0.000000
1.580000	16.607447	0.000000
1.590000	16.609446	0.000000
1.600000	16.611446	0.000000
1.610000	16.613458	0.501891
1.620000	16.615461	0.501891
1.630000	16.617465	0.000000
1.640000	16.619578	0.000000
1.650000	16.621950	0.000000
1.660000	16.624254	0.000000
1.670000	16.626234	0.000000
1.680000	16.628019	0.000000
1.690000	16.629882	0.000000
1.700000	16.631879	0.000000
1.710000	16.633840	0.000000
