<Mach-1 File>
<INFO>
Date:	Tue, Apr 07, 2026
Time:	16:37:24.729
Mach-1 Motion Software Version:	4.5.0.1
Mach-1 System S/N:	MA0561195
Mach-1 System Model:	V500c
Load Cell Name:	100N-SN195168
Load Cell Type:	Single-axis
Load Cell Calibration Factor:	1.003782
Load Cell Offset:	31.000000
Load Cell Calibration Date:	2025-08-20
Load Cell Low-pass filter:	Yes
Load Cell Low-pass filter Order:	3
Load Cell Low-pass filter Cutoff frequency (Hz):	20.00
<END INFO>
<Find Contact>
Stage Axis:	Position (z)
Load Cell Axis:	Fz
Direction:	Positive
Contact Criteria, gf:	1.000000
Stage Velocity, mm/s:	0.2000
Stage Limit, mm:	10.0000
Stage Repositioning:	None
Offset, mm:	0.0000
<DATA>
Time, s	Position (z), mm	Fz, gf
0.000000	16.475000	0.000000
0.010000	16.475000	0.501891
0.020000	16.475000	0.000000
0.030000	16.475000	0.000000
0.040000	16.475000	0.501891
0.050000	16.475000	0.501891
0.060000	16.475000	0.501891
0.070000	16.475000	0.501891
0.080000	16.475000	0.501891
0.090000	16.475000	0.501891
0.100000	16.475000	0.501891
0.110000	16.475000	0.501891
0.120000	16.475000	0.501891
0.130000	16.475000	0.501891
0.140000	16.475000	0.000000
0.150000	16.475000	0.000000
0.160000	16.475000	0.000000
0.170000	16.475000	0.501891
0.180000	16.475000	0.501891
0.190000	16.475000	0.501891
0.200000	16.475000	0.000000
0.210000	16.475000	0.000000
0.220000	16.475026	0.000000
0.230000	16.475318	0.501891
0.240000	16.476210	0.501891
0.250000	16.478021	0.501891
0.260000	16.480600	0.501891
0.270000	16.483264	0.000000
0.280000	16.485692	0.501891
0.290000	16.487938	0.501891
0.300000	16.490102	0.000000
0.310000	16.492216	0.000000
0.320000	16.494342	0.501891
0.330000	16.496454	0.501891
0.340000	16.498518	0.501891
0.350000	16.500529	0.000000
0.360000	16.502489	0.000000
0.370000	16.504508	0.501891
0.380000	16.506660	0.501891
0.390000	16.508776	0.000000
0.400000	16.510862	0.000000
0.410000	16.512973	0.501891
0.420000	16.515023	0.501891
0.430000	16.517001	0.501891
0.440000	16.518927	0.501891
0.450000	16.520848	0.501891
0.460000	16.522786	0.501891
0.470000	16.524779	0.000000
0.480000	16.526851	0.501891
0.490000	16.528962	0.000000
0.500000	16.531038	0.000000
0.510000	16.533066	0.000000
0.520000	16.535045	0.501891
0.530000	16.537002	0.501891
0.540000	16.538945	0.501891
0.550000	16.540893	0.501891
0.560000	16.542876	0.501891
0.570000	16.544909	0.501891
0.580000	16.546946	0.501891
0.590000	16.548947	0.501891
0.600000	16.550965	0.501891
0.610000	16.552981	0.000000
0.620000	16.554952	0.501891
0.630000	16.556936	0.501891
0.640000	16.558950	0.501891
0.650000	16.560963	0.501891
0.660000	16.562976	0.501891
0.670000	16.564990	0.501891
0.680000	16.567003	0.501891
0.690000	16.568988	0.501891
0.700000	16.570978	0.501891
0.710000	16.573004	0.501891
0.720000	16.575022	0.501891
0.730000	16.577019	0.501891
0.740000	16.579004	0.501891
0.750000	16.581007	0.501891
0.760000	16.583036	0.501891
0.770000	16.585090	0.501891
0.780000	16.587289	0.501891
0.790000	16.589574	0.501891
0.800000	16.591729	0.501891
0.810000	16.593718	0.501891
0.820000	16.595614	0.501891
0.830000	16.597296	0.501891
0.840000	16.598972	0.501891
0.850000	16.600884	0.000000
0.860000	16.602951	0.501891
0.870000	16.605010	0.501891
0.880000	16.607019	0.501891
0.890000	16.609005	0.000000
0.900000	16.610979	0.000000
0.910000	16.612923	0.501891
0.920000	16.614906	0.501891
0.930000	16.616937	0.501891
0.940000	16.618974	0.501891
0.950000	16.621153	0.501891
0.960000	16.623522	0.501891
0.970000	16.625764	0.501891
0.980000	16.627793	0.501891
0.990000	16.629741	0.501891
1.000000	16.631677	0.501891
1.010000	16.633646	0.501891
1.020000	16.635719	0.501891
1.030000	16.637829	0.501891
1.040000	16.639835	0.501891
1.050000	16.641799	0.501891
1.060000	16.643757	0.501891
1.070000	16.645731	0.000000
1.080000	16.647726	0.000000
1.090000	16.649726	0.501891
1.100000	16.651717	0.501891
1.110000	16.653642	0.501891
1.120000	16.655601	0.501891
1.130000	16.657654	0.501891
1.140000	16.659703	0.501891
1.150000	16.661705	0.000000
1.160000	16.663636	0.000000
1.170000	16.665468	0.501891
1.180000	16.667176	0.501891
1.190000	16.668917	0.501891
1.200000	16.670868	0.501891
1.210000	16.672934	0.501891
1.220000	16.674973	0.501891
1.230000	16.677003	0.501891
1.240000	16.679104	0.501891
1.250000	16.681215	0.501891
1.260000	16.683275	0.501891
1.270000	16.685377	0.000000
1.280000	16.687449	0.000000
1.290000	16.689273	0.501891
1.300000	16.691062	0.501891
1.310000	16.692969	0.501891
1.320000	16.694983	0.000000
1.330000	16.697019	0.000000
1.340000	16.699066	0.000000
1.350000	16.701241	0.501891
1.360000	16.703549	0.501891
1.370000	16.705738	0.000000
1.380000	16.707762	0.000000
1.390000	16.709695	0.501891
1.400000	16.711649	0.501891
1.410000	16.713673	0.501891
1.420000	16.715680	0.501891
1.430000	16.717612	0.501891
1.440000	16.719357	0.501891
1.450000	16.721047	0.501891
1.460000	16.722904	0.501891
1.470000	16.724889	0.000000
1.480000	16.726913	0.501891
1.490000	16.728972	0.501891
1.500000	16.731057	0.501891
1.510000	16.733140	0.000000
1.520000	16.735137	0.000000
1.530000	16.737083	0.501891
1.540000	16.739025	0.501891
1.550000	16.740974	0.501891
1.560000	16.742949	0.501891
1.570000	16.744964	0.501891
1.580000	16.746967	0.501891
1.590000	16.748977	0.000000
1.600000	16.751004	0.000000
1.610000	16.752992	0.501891
1.620000	16.754948	0.501891
1.630000	16.756907	0.501891
1.640000	16.758913	0.501891
1.650000	16.760879	0.501891
1.660000	16.762827	0.501891
1.670000	16.764871	0.501891
1.680000	16.766975	0.000000
1.690000	16.769042	0.000000
1.700000	16.771040	0.501891
1.710000	16.773019	0.501891
1.720000	16.775006	0.501891
1.730000	16.776996	0.501891
1.740000	16.779059	0.501891
1.750000	16.781096	0.501891
1.760000	16.783091	0.501891
1.770000	16.785351	0.501891
1.780000	16.787679	0.000000
1.790000	16.789766	0.501891
1.800000	16.791466	0.501891
1.810000	16.793000	0.501891
1.820000	16.794839	0.501891
1.830000	16.796899	0.501891
1.840000	16.798953	0.000000
1.850000	16.800882	0.000000
1.860000	16.802844	0.501891
1.870000	16.804964	0.501891
1.880000	16.807182	0.501891
1.890000	16.809431	0.501891
1.900000	16.811625	0.000000
1.910000	16.813691	0.000000
1.920000	16.815660	0.501891
1.930000	16.817657	0.501891
1.940000	16.819604	0.501891
1.950000	16.821374	0.501891
1.960000	16.823105	0.501891
1.970000	16.824983	0.501891
1.980000	16.826979	0.000000
1.990000	16.829001	0.000000
2.000000	16.831020	0.501891
2.010000	16.833005	0.501891
2.020000	16.834910	0.000000
2.030000	16.836792	0.000000
2.040000	16.838803	0.501891
2.050000	16.840941	0.501891
2.060000	16.843174	0.501891
2.070000	16.845466	0.501891
2.080000	16.847627	0.000000
2.090000	16.849691	0.501891
2.100000	16.851712	0.501891
2.110000	16.853694	0.501891
2.120000	16.855655	0.501891
2.130000	16.857616	0.000000
2.140000	16.859667	0.000000
2.150000	16.861758	1.003782
2.160000	16.863821	0.501891
2.170000	16.865827	-0.501891
2.180000	16.867700	0.501891
2.190000	16.869371	0.501891
2.200000	16.871060	0.000000
2.210000	16.872932	0.501891
2.220000	16.874946	0.501891
2.230000	16.877002	0.000000
2.240000	16.879022	0.000000
2.250000	16.881035	0.501891
2.260000	16.883052	0.501891
2.270000	16.885052	0.000000
2.280000	16.887028	0.501891
2.290000	16.888983	0.501891
2.300000	16.890975	0.501891
2.310000	16.893009	0.000000
2.320000	16.895017	0.501891
2.330000	16.896981	0.501891
2.340000	16.898982	0.501891
2.350000	16.901014	0.501891
2.360000	16.903026	0.501891
2.370000	16.905071	0.501891
2.380000	16.907316	0.501891
2.390000	16.909448	0.501891
2.400000	16.911320	0.501891
2.410000	16.913362	0.501891
2.420000	16.915664	0.501891
2.430000	16.917896	0.501891
2.440000	16.919896	0.501891
2.450000	16.921775	0.501891
2.460000	16.923697	0.501891
2.470000	16.925705	0.501891
2.480000	16.927671	0.501891
2.490000	16.929419	1.003782
2.500000	16.931097	0.501891
2.510000	16.933006	0.501891
2.520000	16.935007	1.003782
2.530000	16.936970	1.003782
2.540000	16.938507	1.003782
2.550000	16.939155	0.501891
2.560000	16.939187	0.501891
2.570000	16.939240	1.003782
2.580000	16.939401	0.501891
2.590000	16.939508	1.003782
<END DATA>
<INFO>
Date:	Tue, Apr 07, 2026
Time:	16:37:27.329
Mach-1 Motion Software Version:	4.5.0.1
Mach-1 System S/N:	MA0561195
Mach-1 System Model:	V500c
Load Cell Name:	100N-SN195168
Load Cell Type:	Single-axis
Load Cell Calibration Factor:	1.003782
Load Cell Offset:	31.000000
Load Cell Calibration Date:	2025-08-20
Load Cell Low-pass filter:	Yes
Load Cell Low-pass filter Order:	3
Load Cell Low-pass filter Cutoff frequency (Hz):	20.00
<END INFO>
<Sinusoid>
Stage Axis:	Position (z)
Amplitude, mm:	4.0000
Frequency, Hz:	1.25000
Number of Cycles:	5
<DATA>
Time, s	Position (z), mm	Fz, gf
0.000000	16.939527	1.003782
0.010000	16.939510	1.003782
0.020000	16.939497	0.501891
0.030000	16.939495	1.003782
0.040000	16.939499	1.003782
0.050000	16.939501	0.501891
0.060000	16.939501	0.501891
0.070000	16.939500	1.003782
0.080000	16.939483	1.003782
0.090000	16.939294	1.003782
0.100000	16.939066	0.501891
0.110000	16.938966	1.003782
0.120000	16.938969	0.501891
0.130000	16.938996	0.501891
0.140000	16.939007	0.501891
0.150000	16.939005	0.501891
0.160000	16.939000	0.501891
0.170000	16.938999	1.003782
0.180000	16.938999	1.003782
0.190000	16.939000	0.501891
0.200000	16.939000	0.501891
0.210000	16.939000	0.501891
0.220000	16.939000	1.003782
0.230000	16.939000	0.501891
0.240000	16.939000	0.501891
0.250000	16.939000	0.501891
0.260000	16.939000	0.501891
0.270000	16.939000	0.501891
0.280000	16.939000	0.501891
0.290000	16.938985	1.003782
0.300000	16.938802	0.501891
0.310000	16.938572	0.501891
0.320000	16.938467	0.501891
0.330000	16.938468	0.501891
0.340000	16.938495	0.501891
0.350000	16.938507	0.501891
0.360000	16.938505	0.501891
0.370000	16.938501	0.501891
0.380000	16.938499	0.501891
0.390000	16.938499	0.501891
0.400000	16.938500	0.501891
0.410000	16.938500	0.501891
0.420000	16.938500	0.501891
0.430000	16.938500	0.501891
0.440000	16.938500	0.501891
0.450000	16.938500	0.501891
0.460000	16.938500	0.501891
0.470000	16.938500	0.501891
0.480000	16.938500	0.501891
0.490000	16.938500	0.501891
0.500000	16.938500	0.501891
0.510000	16.938500	0.501891
0.520000	16.938500	0.501891
0.530000	16.938500	0.501891
0.540000	16.938500	0.501891
0.550000	16.938500	0.501891
0.560000	16.938500	0.501891
0.570000	16.938500	0.501891
0.580000	16.938500	0.501891
0.590000	16.938500	0.501891
0.600000	16.939000	0.501891
0.610000	16.939000	0.501891
0.620000	16.939000	0.501891
0.630000	16.939000	0.501891
0.640000	16.939000	0.501891
0.650000	16.939000	1.003782
0.660000	16.939000	0.501891
0.670000	16.939000	0.501891
0.680000	16.939000	0.501891
0.690000	16.939000	0.501891
0.700000	16.939000	0.501891
0.710000	16.939000	0.501891
0.720000	16.939000	0.501891
0.730000	16.939000	0.501891
0.740000	16.939000	0.501891
0.750000	16.939000	1.003782
0.760000	16.939000	0.501891
0.770000	16.939000	0.501891
0.780000	16.939000	0.501891
0.790000	16.939000	0.501891
0.800000	16.939000	0.501891
0.810000	16.939000	0.501891
0.820000	16.939000	0.501891
0.830000	16.939000	0.501891
0.840000	16.939000	0.501891
0.850000	16.939000	0.501891
0.860000	16.939000	0.501891
0.870000	16.939000	0.501891
0.880000	16.939000	0.501891
0.890000	16.939000	0.501891
0.900000	16.939000	0.501891
0.910000	16.939000	0.501891
0.920000	16.939000	0.501891
0.930000	16.939000	0.501891
0.940000	16.939000	0.501891
0.950000	16.939000	0.501891
0.960000	16.939000	0.501891
0.970000	16.939000	0.501891
0.980000	16.939000	0.501891
0.990000	16.939000	0.501891
1.000000	16.939000	0.501891
1.010000	16.939000	0.501891
1.020000	16.939000	0.501891
1.030000	16.939000	0.501891
1.040000	16.939000	0.501891
1.050000	16.939000	0.501891
1.060000	16.939000	0.501891
1.070000	16.939000	0.501891
1.080000	16.939000	0.501891
1.090000	16.939000	0.501891
1.100000	16.939000	0.501891
1.110000	16.939000	0.501891
1.120000	16.939000	0.501891
1.130000	16.939000	0.501891
1.140000	16.939000	0.501891
1.150000	16.939000	0.501891
1.160000	16.939000	0.501891
1.170000	16.939044	0.501891
1.180000	16.940525	1.003782
1.190000	16.951200	2.007563
1.200000	16.980355	3.011345
1.210000	17.035113	5.018908
1.220000	17.121883	8.532144
1.230000	17.247205	13.551052
1.240000	17.415516	20.075632
1.250000	17.625212	28.105885
1.260000	17.869624	37.139919
1.270000	18.140428	47.177735
1.280000	18.429874	57.717442
1.290000	18.730671	67.755258
1.300000	19.035922	78.294965
1.310000	19.339127	87.830890
1.320000	19.633217	96.864924
1.330000	19.910966	104.895177
1.340000	20.165171	111.419757
1.350000	20.388677	116.940556
1.360000	20.574151	120.955683
1.370000	20.716395	123.465137
1.380000	20.816172	124.970809
1.390000	20.880306	125.472700
1.400000	20.917217	124.970809
1.410000	20.934742	123.967027
1.420000	20.940180	122.963246
1.430000	20.940245	121.959464
1.440000	20.939406	120.955683
1.450000	20.939165	120.453792
1.460000	20.939339	119.450010
1.470000	20.939405	118.948119
1.480000	20.936444	117.944338
1.490000	20.921933	115.936775
1.500000	20.886952	113.427321
1.510000	20.824637	110.415976
1.520000	20.729000	105.397068
1.530000	20.593384	99.374378
1.540000	20.414448	92.347907
1.550000	20.195264	84.317654
1.560000	19.943350	74.781729
1.570000	19.667148	65.245804
1.580000	19.374346	54.706097
1.590000	19.071846	44.166390
1.600000	18.765982	34.128574
1.610000	18.460395	24.592649
1.620000	18.155635	15.558615
1.630000	17.851108	7.528362
1.640000	17.546461	1.505672
1.650000	17.241631	-0.501891
1.660000	16.936455	-0.501891
1.670000	16.631448	0.501891
