<Mach-1 File>
<INFO>
Date:	Tue, Apr 07, 2026
Time:	16:34:02.029
Mach-1 Motion Software Version:	4.5.0.1
Mach-1 System S/N:	MA0561195
Mach-1 System Model:	V500c
Load Cell Name:	100N-SN195168
Load Cell Type:	Single-axis
Load Cell Calibration Factor:	1.003782
Load Cell Offset:	31.000000
Load Cell Calibration Date:	2025-08-20
Load Cell Low-pass filter:	Yes
Load Cell Low-pass filter Order:	3
Load Cell Low-pass filter Cutoff frequency (Hz):	20.00
<END INFO>
<Find Contact>
Stage Axis:	Position (z)
Load Cell Axis:	Fz
Direction:	Positive
Contact Criteria, gf:	1.000000
Stage Velocity, mm/s:	0.2000
Stage Limit, mm:	10.0000
Stage Repositioning:	None
Offset, mm:	0.0000
<DATA>
Time, s	Position (z), mm	Fz, gf
0.000000	16.959000	0.501891
0.010000	16.959000	0.501891
0.020000	16.959000	0.501891
0.030000	16.959000	0.501891
0.040000	16.959000	0.501891
0.050000	16.959000	0.501891
0.060000	16.959000	0.501891
0.070000	16.959000	0.501891
0.080000	16.959000	0.501891
0.090000	16.959000	0.501891
0.100000	16.959000	0.501891
0.110000	16.959000	0.501891
0.120000	16.959000	0.501891
0.130000	16.959000	0.501891
0.140000	16.959000	0.501891
0.150000	16.959000	0.501891
0.160000	16.959000	0.501891
0.170000	16.959000	0.501891
0.180000	16.959000	0.501891
0.190000	16.959000	0.501891
0.200000	16.959000	0.501891
0.210000	16.959000	0.501891
0.220000	16.959000	0.000000
0.230000	16.959000	0.501891
0.240000	16.959000	0.501891
0.250000	16.959000	0.501891
0.260000	16.959000	0.501891
0.270000	16.959009	0.501891
0.280000	16.959184	0.501891
0.290000	16.959668	0.501891
0.300000	16.961001	0.501891
0.310000	16.963469	0.501891
0.320000	16.966328	0.501891
0.330000	16.968914	0.501891
0.340000	16.971201	0.501891
0.350000	16.973391	1.003782
0.360000	16.975575	1.003782
0.370000	16.977764	1.003782
0.380000	16.979879	1.003782
0.390000	16.981926	1.003782
0.400000	16.983994	1.003782
0.410000	16.986063	1.003782
0.420000	16.988066	1.003782
0.430000	16.990051	1.003782
0.440000	16.992073	1.003782
0.450000	16.994069	1.003782
0.460000	16.996069	1.505672
0.470000	16.998098	1.505672
0.480000	17.000116	1.505672
0.490000	17.002127	1.505672
0.500000	17.004145	1.505672
0.510000	17.006171	1.505672
0.520000	17.008191	1.505672
0.530000	17.010153	1.505672
0.540000	17.011729	1.505672
0.550000	17.012534	1.505672
0.560000	17.012665	1.505672
0.570000	17.012551	1.505672
0.580000	17.012473	1.505672
0.590000	17.012470	1.505672
0.600000	17.012493	1.505672
0.610000	17.012505	1.505672
0.620000	17.012504	1.505672
0.630000	17.012501	1.505672
0.640000	17.012499	1.505672
0.650000	17.012499	1.505672
0.660000	17.012500	1.505672
0.670000	17.012500	1.505672
0.680000	17.012500	1.505672
0.690000	17.012500	1.505672
0.700000	17.012500	1.505672
0.710000	17.012500	1.505672
0.720000	17.012500	1.505672
0.730000	17.012500	1.505672
0.740000	17.012500	1.505672
0.750000	17.012500	1.505672
0.760000	17.012500	1.505672
0.770000	17.012500	1.505672
0.780000	17.012500	1.505672
0.790000	17.012500	1.505672
0.800000	17.012500	1.505672
0.810000	17.012500	1.505672
0.820000	17.012500	1.505672
0.830000	17.012500	1.505672
0.840000	17.012500	1.505672
0.850000	17.012500	1.505672
0.860000	17.012500	1.505672
0.870000	17.012500	1.505672
0.880000	17.012500	1.505672
0.890000	17.012500	1.505672
0.900000	17.012500	1.505672
0.910000	17.012500	1.505672
0.920000	17.012500	1.505672
0.930000	17.012500	1.505672
0.940000	17.012500	1.505672
0.950000	17.012500	1.505672
0.960000	17.012500	1.505672
0.970000	17.012500	1.505672
0.980000	17.012500	1.505672
0.990000	17.012467	1.505672
1.000000	17.012256	1.003782
1.010000	17.012042	1.003782
1.020000	17.011962	1.505672
1.030000	17.011973	1.505672
1.040000	17.011999	1.505672
1.050000	17.012007	1.505672
1.060000	17.012004	1.505672
1.070000	17.012000	1.003782
1.080000	17.011999	1.505672
1.090000	17.011999	1.505672
1.100000	17.012000	1.505672
1.110000	17.012000	1.505672
1.120000	17.012000	1.505672
1.130000	17.012000	1.505672
1.140000	17.012000	1.505672
1.150000	17.012000	1.505672
1.160000	17.012000	1.505672
1.170000	17.012000	1.505672
1.180000	17.012000	1.505672
1.190000	17.012000	1.505672
<END DATA>
<INFO>
Date:	Tue, Apr 07, 2026
Time:	16:34:03.229
Mach-1 Motion Software Version:	4.5.0.1
Mach-1 System S/N:	MA0561195
Mach-1 System Model:	V500c
Load Cell Name:	100N-SN195168
Load Cell Type:	Single-axis
Load Cell Calibration Factor:	1.003782
Load Cell Offset:	31.000000
Load Cell Calibration Date:	2025-08-20
Load Cell Low-pass filter:	Yes
Load Cell Low-pass filter Order:	3
Load Cell Low-pass filter Cutoff frequency (Hz):	20.00
<END INFO>
<Sinusoid>
Stage Axis:	Position (z)
Amplitude, mm:	4.0000
Frequency, Hz:	1.25000
Number of Cycles:	5
<DATA>
Time, s	Position (z), mm	Fz, gf
0.000000	17.012000	1.505672
0.010000	17.012000	1.505672
0.020000	17.012000	1.505672
0.030000	17.012000	1.505672
0.040000	17.012000	1.505672
0.050000	17.012000	1.505672
0.060000	17.012000	1.505672
0.070000	17.012000	1.505672
0.080000	17.012000	1.505672
0.090000	17.012000	1.505672
0.100000	17.012000	1.505672
0.110000	17.012000	1.505672
0.120000	17.012000	1.505672
0.130000	17.012000	1.505672
0.140000	17.012000	1.505672
0.150000	17.012000	1.505672
0.160000	17.012000	1.505672
0.170000	17.012000	1.505672
0.180000	17.012000	1.505672
0.190000	17.012000	1.505672
0.200000	17.012000	1.505672
0.210000	17.012000	1.505672
0.220000	17.012000	1.505672
0.230000	17.012000	1.505672
0.240000	17.012000	1.505672
0.250000	17.012000	1.505672
0.260000	17.012000	1.505672
0.270000	17.012000	1.505672
0.280000	17.012000	1.505672
0.290000	17.012000	1.505672
0.300000	17.012000	1.505672
0.310000	17.012000	1.505672
0.320000	17.012000	1.505672
0.330000	17.012000	1.505672
0.340000	17.012000	1.505672
0.350000	17.012000	1.505672
0.360000	17.012000	1.505672
0.370000	17.012000	1.505672
0.380000	17.012000	1.505672
0.390000	17.012000	1.505672
0.400000	17.012000	1.505672
0.410000	17.012000	1.505672
0.420000	17.012000	1.505672
0.430000	17.012000	1.505672
0.440000	17.012000	1.505672
0.450000	17.012000	1.505672
0.460000	17.012000	1.505672
0.470000	17.012000	1.505672
0.480000	17.012000	1.505672
0.490000	17.012000	1.505672
0.500000	17.012000	1.505672
0.510000	17.012000	1.505672
0.520000	17.012000	1.505672
0.530000	17.012000	1.505672
0.540000	17.012000	1.505672
0.550000	17.012000	1.505672
0.560000	17.012000	1.505672
0.570000	17.012000	1.505672
0.580000	17.012000	1.505672
0.590000	17.012000	1.505672
0.600000	17.012000	1.505672
0.610000	17.012000	1.505672
0.620000	17.012000	1.505672
0.630000	17.012000	1.505672
0.640000	17.012000	1.505672
0.650000	17.012000	1.505672
0.660000	17.012000	1.505672
0.670000	17.012000	1.003782
0.680000	17.012000	1.505672
0.690000	17.012000	1.505672
0.700000	17.012000	1.505672
0.710000	17.012000	1.505672
0.720000	17.012000	1.505672
0.730000	17.012000	1.505672
0.740000	17.012000	1.505672
0.750000	17.012000	1.505672
0.760000	17.012000	1.003782
0.770000	17.012000	1.003782
0.780000	17.012000	1.003782
0.790000	17.012000	1.505672
0.800000	17.012000	1.505672
0.810000	17.012000	1.505672
0.820000	17.012000	1.505672
0.830000	17.012000	1.505672
0.840000	17.012000	1.505672
0.850000	17.012000	1.505672
0.860000	17.012000	1.505672
0.870000	17.012000	1.505672
0.880000	17.012000	1.505672
0.890000	17.012000	1.505672
0.900000	17.012000	1.505672
0.910000	17.012000	1.003782
0.920000	17.012000	1.003782
0.930000	17.012000	1.505672
0.940000	17.012000	1.505672
0.950000	17.012000	1.003782
0.960000	17.012000	1.003782
0.970000	17.012000	1.505672
0.980000	17.012000	1.505672
0.990000	17.012000	1.505672
1.000000	17.012000	1.505672
1.010000	17.012000	1.505672
1.020000	17.012000	1.505672
1.030000	17.012000	1.505672
1.040000	17.012000	1.505672
1.050000	17.012000	1.505672
1.060000	17.012000	1.505672
1.070000	17.012000	1.505672
1.080000	17.012000	1.505672
1.090000	17.012000	1.505672
1.100000	17.012000	1.505672
1.110000	17.012000	1.505672
1.120000	17.012000	1.505672
1.130000	17.012000	1.505672
1.140000	17.012000	1.505672
1.150000	17.012000	1.003782
1.160000	17.012000	1.505672
1.170000	17.012000	1.505672
1.180000	17.012000	1.505672
1.190000	17.012000	1.505672
1.200000	17.012000	1.505672
1.210000	17.012000	1.003782
1.220000	17.012017	1.003782
1.230000	17.012837	1.505672
1.240000	17.021178	2.509454
1.250000	17.046898	3.513236
1.260000	17.097122	6.022690
1.270000	17.178004	9.034034
1.280000	17.296187	13.551052
1.290000	17.456995	19.573741
1.300000	17.659905	27.102103
1.310000	17.898956	35.132356
1.320000	18.165960	44.668281
1.330000	18.452881	54.204206
1.340000	18.752250	64.242022
1.350000	19.057409	73.777947
1.360000	19.361480	83.313873
1.370000	19.657386	91.846016
1.380000	19.938207	99.374378
1.390000	20.196844	105.898959
1.400000	20.426053	111.419757
1.410000	20.618424	115.434884
1.420000	20.768102	118.446229
1.430000	20.874812	119.951901
1.440000	20.944504	120.453792
1.450000	20.985345	119.951901
1.460000	21.005283	119.450010
1.470000	21.011939	118.446229
1.480000	21.012409	117.442447
1.490000	21.011757	116.438665
1.500000	21.011735	115.434884
1.510000	21.012196	114.932993
1.520000	21.012512	114.431102
1.530000	21.011768	113.427321
1.540000	21.004367	112.423539
1.550000	20.981000	110.415976
1.560000	20.934012	107.404631
1.570000	20.856925	103.389505
1.580000	20.743187	98.370597
1.590000	20.587121	91.846016
1.600000	20.388524	84.819545
1.610000	20.152940	76.789292
1.620000	19.888547	67.755258
1.630000	19.603553	58.219333
1.640000	19.305363	48.683407
1.650000	19.000702	38.645592
1.660000	18.694828	29.611557
1.670000	18.389721	20.577523
1.680000	18.085051	12.045379
1.690000	17.780417	5.018908
1.700000	17.475677	0.501891
1.710000	17.170784	-0.501891
1.720000	16.865891	0.000000
1.730000	16.561228	0.501891
1.740000	16.256559	0.501891
1.750000	15.951668	0.501891
1.760000	15.646827	0.501891
1.770000	15.342049	0.501891
1.780000	15.037106	0.501891
1.790000	14.733419	0.501891
1.800000	14.435677	1.003782
1.810000	14.150632	1.003782
1.820000	13.885904	1.003782
1.830000	13.649090	1.505672
1.840000	13.447452	2.007563
1.850000	13.287457	2.007563
1.860000	13.170748	1.505672
1.870000	13.092699	1.505672
1.880000	13.045482	1.003782
1.890000	13.020997	0.501891
1.900000	13.011550	0.501891
1.910000	13.010004	0.501891
1.920000	13.010713	0.501891
1.930000	13.010986	0.501891
1.940000	13.010753	0.000000
1.950000	13.010772	0.501891
1.960000	13.014371	0.501891
1.970000	13.030710	1.003782
1.980000	13.068315	1.505672
1.990000	13.133780	1.505672
2.000000	13.233335	2.007563
2.010000	13.373463	2.007563
2.020000	13.556767	1.505672
2.030000	13.779572	1.505672
2.040000	14.034233	1.003782
2.050000	14.312502	1.003782
2.060000	14.606771	0.501891
2.070000	14.909955	0.501891
2.080000	15.215855	0.000000
2.090000	15.521352	0.000000
2.100000	15.825901	0.501891
2.110000	16.130293	0.501891
2.120000	16.435043	0.501891
2.130000	16.739939	0.501891
2.140000	17.045085	2.509454
2.150000	17.350142	9.034034
2.160000	17.654762	19.573741
2.170000	17.959098	31.117230
2.180000	18.263655	42.158827
2.190000	18.568695	52.196643
2.200000	18.873776	61.732568
2.210000	19.178172	71.268493
2.220000	19.478780	80.302528
2.230000	19.769376	88.834671
2.240000	20.042439	96.363033
2.250000	20.290488	102.385723
2.260000	20.506117	107.906522
2.270000	20.682210	111.921648
2.280000	20.814570	114.431102
2.290000	20.905894	115.936775
2.300000	20.963344	116.438665
2.310000	20.995093	116.438665
2.320000	21.009054	115.936775
2.330000	21.012584	114.932993
2.340000	21.012232	113.929211
2.350000	21.011698	112.925430
2.360000	21.011878	112.423539
2.370000	21.012330	111.921648
2.380000	21.012444	111.419757
2.390000	21.009989	110.415976
2.400000	20.997000	108.910303
2.410000	20.964724	106.902740
2.420000	20.906192	103.389505
2.430000	20.814865	99.374378
2.440000	20.684354	93.351689
2.450000	20.510487	86.827108
2.460000	20.295753	79.298746
2.470000	20.047240	70.766603
2.480000	19.773500	61.732568
2.490000	19.482267	52.196643
2.500000	19.180648	42.158827
2.510000	18.875038	32.622902
2.520000	18.569390	24.090758
2.530000	18.264571	15.558615
2.540000	17.960015	7.528362
2.550000	17.655388	2.007563
2.560000	17.350541	-0.501891
2.570000	17.045542	0.000000
2.580000	16.740739	0.501891
2.590000	16.436117	0.501891
2.600000	16.131305	0.501891
2.610000	15.826375	0.501891
2.620000	15.521672	0.501891
2.630000	15.216909	0.501891
2.640000	14.912160	0.501891
2.650000	14.610182	0.501891
2.660000	14.316738	1.003782
2.670000	14.039063	1.003782
2.680000	13.784933	1.505672
2.690000	13.561695	1.505672
2.700000	13.376564	2.007563
2.710000	13.234571	1.505672
2.720000	13.134519	1.505672
2.730000	13.070073	1.003782
2.740000	13.033132	1.003782
2.750000	13.015730	0.501891
2.760000	13.010333	0.501891
2.770000	13.010210	0.501891
2.780000	13.010815	0.000000
2.790000	13.011108	0.501891
2.800000	13.014428	1.003782
2.810000	13.030408	1.003782
2.820000	13.067756	1.505672
2.830000	13.132916	1.505672
2.840000	13.232075	1.505672
2.850000	13.371846	2.007563
2.860000	13.554838	1.505672
2.870000	13.777341	1.505672
2.880000	14.031724	1.003782
2.890000	14.309819	1.003782
2.900000	14.603913	0.501891
2.910000	14.906942	0.501891
2.920000	15.212800	0.000000
2.930000	15.518378	0.000000
2.940000	15.822952	0.501891
2.950000	16.127360	0.501891
2.960000	16.432292	0.501891
2.970000	16.737296	0.501891
2.980000	17.042238	1.505672
2.990000	17.347189	7.528362
3.000000	17.651790	18.068069
3.010000	17.956115	29.611557
3.020000	18.260733	40.151264
3.030000	18.565804	50.189080
3.040000	18.870824	59.725005
3.050000	19.175250	69.260930
3.060000	19.475946	77.793074
3.070000	19.766678	86.325217
3.080000	20.040072	93.853579
3.090000	20.288414	100.378160
3.100000	20.504264	105.898959
3.110000	20.680691	109.914085
3.120000	20.813487	112.423539
3.130000	20.905178	113.929211
3.140000	20.962906	114.932993
3.150000	20.994878	114.932993
3.160000	21.008893	113.929211
3.170000	21.012419	113.427321
3.180000	21.012130	112.423539
3.190000	21.011666	111.419757
3.200000	21.011787	110.917867
3.210000	21.012236	110.415976
3.220000	21.012287	109.914085
3.230000	21.008639	108.910303
3.240000	20.992605	107.404631
3.250000	20.955789	104.895177
3.260000	20.891475	101.381941
3.270000	20.793173	96.864924
3.280000	20.654544	90.842235
3.290000	20.472526	84.317654
3.300000	20.250764	76.287401
3.310000	19.996785	67.755258
3.320000	19.719099	58.721223
3.330000	19.425343	49.185298
3.340000	19.122536	39.649373
3.350000	18.816750	30.113448
3.360000	18.511314	21.581304
3.370000	18.206573	13.049161
3.380000	17.901938	5.520799
3.390000	17.597228	1.003782
3.400000	17.292428	-0.501891
3.410000	16.987573	0.000000
3.420000	16.682819	0.501891
3.430000	16.378178	0.501891
3.440000	16.073276	0.501891
3.450000	15.768370	0.501891
3.460000	15.463630	0.501891
3.470000	15.158804	0.000000
3.480000	14.854241	0.501891
3.490000	14.553353	0.501891
3.500000	14.262291	1.003782
3.510000	13.988526	1.003782
3.520000	13.739731	1.505672
3.530000	13.523256	1.505672
3.540000	13.346111	2.007563
3.550000	13.212387	2.007563
3.560000	13.119762	1.505672
3.570000	13.061210	1.003782
3.580000	13.028610	1.003782
3.590000	13.014047	0.501891
3.600000	13.010123	0.501891
3.610000	13.010443	0.000000
3.620000	13.011032	0.000000
3.630000	13.011104	0.000000
3.640000	13.013689	0.501891
3.650000	13.027951	1.003782
3.660000	13.062867	1.505672
3.670000	13.125066	1.505672
3.680000	13.220561	2.007563
3.690000	13.356024	2.007563
3.700000	13.534780	2.007563
3.710000	13.753650	1.505672
3.720000	14.005287	1.003782
3.730000	14.281349	1.003782
3.740000	14.574103	0.501891
3.750000	14.876598	0.501891
3.760000	15.182448	0.501891
3.770000	15.488139	0.000000
3.780000	15.792803	0.501891
3.790000	16.097157	0.501891
3.800000	16.401861	0.501891
3.810000	16.706700	0.501891
3.820000	17.011832	1.505672
3.830000	17.316932	7.528362
3.840000	17.621646	17.566178
3.850000	17.925968	29.109666
3.860000	18.230465	39.649373
3.870000	18.535360	49.687189
3.880000	18.840359	59.725005
3.890000	19.144961	68.759039
3.900000	19.446317	77.793074
3.910000	19.738429	86.325217
3.920000	20.013889	93.853579
3.930000	20.265012	99.876269
3.940000	20.484411	105.397068
3.950000	20.665058	109.412194
3.960000	20.802163	111.921648
3.970000	20.897680	113.427321
3.980000	20.958440	113.929211
3.990000	20.992610	113.929211
4.000000	21.008066	112.925430
4.010000	21.012318	112.423539
4.020000	21.012207	111.419757
4.030000	21.011705	110.917867
4.040000	21.011860	109.914085
4.050000	21.012303	109.412194
4.060000	21.012084	108.910303
4.070000	21.006669	107.404631
4.080000	20.987036	105.898959
4.090000	20.945258	103.389505
4.100000	20.874706	99.876269
4.110000	20.768805	95.359252
4.120000	20.621455	89.336562
4.130000	20.430979	82.310091
4.140000	20.202109	74.279838
4.150000	19.942749	65.747695
4.160000	19.661239	56.713660
4.170000	19.365104	47.177735
4.180000	19.061289	37.641810
4.190000	18.755402	28.607776
4.200000	18.450136	19.573741
4.210000	18.145483	11.543488
4.220000	17.840867	4.015126
4.230000	17.536119	0.000000
4.240000	17.231304	-0.501891
4.250000	16.926425	0.000000
4.260000	16.621632	0.501891
4.270000	16.316953	0.501891
4.280000	16.012181	0.501891
4.290000	15.707371	0.501891
4.300000	15.402590	0.501891
4.310000	15.097760	0.501891
4.320000	14.793541	0.501891
4.330000	14.494015	0.501891
4.340000	14.205797	1.003782
4.350000	13.936431	1.505672
4.360000	13.693497	1.505672
4.370000	13.484330	2.007563
4.380000	13.315767	2.007563
4.390000	13.190695	1.505672
4.400000	13.105545	1.505672
4.410000	13.052849	1.003782
4.420000	13.024430	1.003782
4.430000	13.012557	0.501891
4.440000	13.009831	0.501891
4.450000	13.010241	0.000000
4.460000	13.010771	0.000000
4.470000	13.011378	0.501891
4.480000	13.017357	1.003782
4.490000	13.038635	1.003782
4.500000	13.083145	1.003782
4.510000	13.157204	1.505672
4.520000	13.267156	1.505672
4.530000	13.419057	1.505672
4.540000	13.613748	1.505672
4.550000	13.846016	1.505672
4.560000	14.107839	1.003782
4.570000	14.391179	1.003782
4.580000	14.688513	0.501891
4.590000	14.992979	0.501891
4.600000	15.298947	0.501891
4.610000	15.604202	0.501891
4.620000	15.908615	0.501891
4.630000	16.213051	0.501891
4.640000	16.517813	0.501891
4.650000	16.822786	0.501891
4.660000	17.127965	2.509454
4.670000	17.432933	9.535925
4.680000	17.737467	20.577523
4.690000	18.041807	31.619120
4.700000	18.346489	42.158827
4.710000	18.651522	52.196643
4.720000	18.956525	61.732568
