L_span_mm,delta_mm,E_MPa,h_mm,model,F_sim_N
40.0,1.5,6,,linear,0.316570825254608
40.0,1.5,8,,linear,0.422094433672794
40.0,1.5,10,,linear,0.527618042091019
40.0,1.5,12,,linear,0.633141650509217
40.0,1.5,14,,linear,0.738665258927393
40.0,1.0,6,,linear,0.212613615601346
40.0,1.0,8,,linear,0.283484820801815
40.0,1.0,10,,linear,0.354356026002243
40.0,1.0,12,,linear,0.425227231202692
40.0,1.0,14,,linear,0.49609843640315
40.0,0.5,6,,linear,0.107231599495426
40.0,0.5,8,,linear,0.142975465993906
40.0,0.5,10,,linear,0.178719332492383
40.0,0.5,12,,linear,0.214463198990852
40.0,0.5,14,,linear,0.250207065489343
65.0,5.0,6,,linear,0.249092993105046
65.0,5.0,8,,linear,0.332123990806629
65.0,5.0,10,,linear,0.415154988508451
65.0,5.0,12,,linear,0.498185986210093
65.0,5.0,14,,linear,0.581216983911962
65.0,4.5,6,,linear,0.223969714908853
65.0,4.5,8,,linear,0.298626286545073
65.0,4.5,10,,linear,0.373282858181333
65.0,4.5,12,,linear,0.447939429817706
65.0,4.5,14,,linear,0.522596001454145
65.0,4.0,6,,linear,0.199000481007459
65.0,4.0,8,,linear,0.265333974676539
65.0,4.0,10,,linear,0.331667468345728
65.0,4.0,12,,linear,0.398000962014918
65.0,4.0,14,,linear,0.464334455684102
65.0,3.5,6,,linear,0.174144327296813
65.0,3.5,8,,linear,0.232192436395734
65.0,3.5,10,,linear,0.290240545494685
65.0,3.5,12,,linear,0.348288654593626
65.0,3.5,14,,linear,0.406336763692564
65.0,3.0,6,,linear,0.149361276133944
65.0,3.0,8,,linear,0.199148368178615
65.0,3.0,10,,linear,0.248935460223224
65.0,3.0,12,,linear,0.298722552267888
65.0,3.0,14,,linear,0.348509644312571
65.0,2.5,6,,linear,0.124612004676426
65.0,2.5,8,,linear,0.166149339568561
65.0,2.5,10,,linear,0.207686674460714
65.0,2.5,12,,linear,0.249224009352852
65.0,2.5,14,,linear,0.290761344245011
65.0,2.0,6,,linear,0.0998574907470617
65.0,2.0,8,,linear,0.133143320996105
65.0,2.0,10,,linear,0.166429151245096
65.0,2.0,12,,linear,0.199714981494123
65.0,2.0,14,,linear,0.233000811743181
65.0,1.5,6,,linear,0.0750586945461294
65.0,1.5,8,,linear,0.1000782593948
65.0,1.5,10,,linear,0.1250978242435
65.0,1.5,12,,linear,0.150117389092258
65.0,1.5,14,,linear,0.175136953940944
65.0,1.0,6,,linear,0.0501762029401219
65.0,1.0,8,,linear,0.0669016039201749
65.0,1.0,10,,linear,0.0836270049002086
65.0,1.0,12,,linear,0.100352405880243
65.0,1.0,14,,linear,0.117077806860304
65.0,0.5,6,,linear,0.0251702387006225
65.0,0.5,8,,linear,0.0335603182674963
65.0,0.5,10,,linear,0.0419503978343741
65.0,0.5,12,,linear,0.0503404774012451
65.0,0.5,14,,linear,0.0587305569681286
