<Mach-1 File>
<INFO>
Date:	Tue, Apr 07, 2026
Time:	16:51:59.029
Mach-1 Motion Software Version:	4.5.0.1
Mach-1 System S/N:	MA0561195
Mach-1 System Model:	V500c
Load Cell Name:	100N-SN195168
Load Cell Type:	Single-axis
Load Cell Calibration Factor:	1.003782
Load Cell Offset:	31.000000
Load Cell Calibration Date:	2025-08-20
Load Cell Low-pass filter:	Yes
Load Cell Low-pass filter Order:	3
Load Cell Low-pass filter Cutoff frequency (Hz):	20.00
<END INFO>
<Find Contact>
Stage Axis:	Position (z)
Load Cell Axis:	Fz
Direction:	Positive
Contact Criteria, gf:	1.000000
Stage Velocity, mm/s:	0.2000
Stage Limit, mm:	10.0000
Stage Repositioning:	None
Offset, mm:	0.0000
<DATA>
Time, s	Position (z), mm	Fz, gf
0.000000	16.889000	0.000000
0.010000	16.889000	0.000000
0.020000	16.889000	0.000000
0.030000	16.889000	0.000000
0.040000	16.889000	0.000000
0.050000	16.889000	0.501891
0.060000	16.889000	0.501891
0.070000	16.889000	0.501891
0.080000	16.889000	0.501891
0.090000	16.889000	0.000000
0.100000	16.889000	0.000000
0.110000	16.889000	0.000000
0.120000	16.889000	0.000000
0.130000	16.889000	0.000000
0.140000	16.889000	0.000000
0.150000	16.889000	0.000000
0.160000	16.889000	0.000000
0.170000	16.889000	0.000000
0.180000	16.889000	0.000000
0.190000	16.889000	0.000000
0.200000	16.889000	0.000000
0.210000	16.889000	0.000000
0.220000	16.889000	0.000000
0.230000	16.889000	0.000000
0.240000	16.889000	0.000000
0.250000	16.889000	0.000000
0.260000	16.889000	0.000000
0.270000	16.889000	0.000000
0.280000	16.889043	0.000000
0.290000	16.889343	0.000000
0.300000	16.890190	0.501891
0.310000	16.892129	0.501891
0.320000	16.894825	0.501891
0.330000	16.897548	0.501891
0.340000	16.900038	0.501891
0.350000	16.902424	0.501891
0.360000	16.904687	0.501891
0.370000	16.906921	0.501891
0.380000	16.909124	0.501891
0.390000	16.911305	0.501891
0.400000	16.913470	0.501891
0.410000	16.915599	0.501891
0.420000	16.917672	1.003782
0.430000	16.919689	1.003782
0.440000	16.921740	1.003782
0.450000	16.923872	1.003782
0.460000	16.926058	1.003782
0.470000	16.928213	1.003782
0.480000	16.930202	1.003782
0.490000	16.931947	1.003782
0.500000	16.933653	1.003782
0.510000	16.935506	1.505672
0.520000	16.937517	1.505672
0.530000	16.939537	1.505672
0.540000	16.941071	1.505672
0.550000	16.941677	1.505672
0.560000	16.941662	1.505672
0.570000	16.941516	1.003782
0.580000	16.941458	1.003782
0.590000	16.941474	1.003782
0.600000	16.941499	1.003782
0.610000	16.941507	1.003782
0.620000	16.941504	1.505672
0.630000	16.941500	1.505672
0.640000	16.941499	1.003782
0.650000	16.941499	1.003782
0.660000	16.941500	1.003782
0.670000	16.941500	1.003782
0.680000	16.941500	1.003782
0.690000	16.941500	1.003782
0.700000	16.941500	1.003782
0.710000	16.941500	1.505672
0.720000	16.941500	1.505672
0.730000	16.941500	1.505672
0.740000	16.941500	1.505672
0.750000	16.941500	1.505672
0.760000	16.941500	1.505672
0.770000	16.941500	1.505672
0.780000	16.941500	1.505672
0.790000	16.941500	1.505672
0.800000	16.941500	1.003782
0.810000	16.941500	1.003782
0.820000	16.941500	1.003782
0.830000	16.941500	1.003782
0.840000	16.941500	1.003782
0.850000	16.941500	1.003782
0.860000	16.941500	1.003782
0.870000	16.941500	1.003782
0.880000	16.941500	1.003782
0.890000	16.941500	1.003782
0.900000	16.941500	1.003782
0.910000	16.941500	1.505672
0.920000	16.941499	1.505672
0.930000	16.941378	1.505672
0.940000	16.941135	1.003782
0.950000	16.940985	1.003782
0.960000	16.940961	1.003782
0.970000	16.940987	1.003782
0.980000	16.941005	1.003782
0.990000	16.941006	1.505672
1.000000	16.941002	1.003782
1.010000	16.940999	1.505672
1.020000	16.940999	1.505672
1.030000	16.941000	1.003782
1.040000	16.941000	1.003782
1.050000	16.941000	1.003782
1.060000	16.941000	1.003782
1.070000	16.941000	1.003782
1.080000	16.941000	1.003782
1.090000	16.941000	1.003782
1.100000	16.941000	1.003782
1.110000	16.941000	1.003782
1.120000	16.941000	1.003782
1.130000	16.941000	1.505672
1.140000	16.941000	1.505672
1.150000	16.941000	1.003782
1.160000	16.941000	1.003782
1.170000	16.941000	1.003782
1.180000	16.941000	1.003782
1.190000	16.941000	1.003782
<END DATA>
<INFO>
Date:	Tue, Apr 07, 2026
Time:	16:52:00.229
Mach-1 Motion Software Version:	4.5.0.1
Mach-1 System S/N:	MA0561195
Mach-1 System Model:	V500c
Load Cell Name:	100N-SN195168
Load Cell Type:	Single-axis
Load Cell Calibration Factor:	1.003782
Load Cell Offset:	31.000000
Load Cell Calibration Date:	2025-08-20
Load Cell Low-pass filter:	Yes
Load Cell Low-pass filter Order:	3
Load Cell Low-pass filter Cutoff frequency (Hz):	20.00
<END INFO>
<Sinusoid>
Stage Axis:	Position (z)
Amplitude, mm:	3.0000
Frequency, Hz:	1.66700
Number of Cycles:	5
<DATA>
Time, s	Position (z), mm	Fz, gf
0.000000	16.941000	1.003782
0.010000	16.941000	1.003782
0.020000	16.941000	1.003782
0.030000	16.941000	1.505672
0.040000	16.941000	1.505672
0.050000	16.941000	1.505672
0.060000	16.941000	1.003782
0.070000	16.941000	1.003782
0.080000	16.941000	1.003782
0.090000	16.941000	1.505672
0.100000	16.941000	1.505672
0.110000	16.941000	1.003782
0.120000	16.941000	1.003782
0.130000	16.941000	1.003782
0.140000	16.941000	1.003782
0.150000	16.941000	1.003782
0.160000	16.941000	1.003782
0.170000	16.941000	1.003782
0.180000	16.941000	1.003782
0.190000	16.941000	1.003782
0.200000	16.941000	1.003782
0.210000	16.941000	1.003782
0.220000	16.941000	1.003782
0.230000	16.941000	1.003782
0.240000	16.941000	1.003782
0.250000	16.941000	1.003782
0.260000	16.941000	1.003782
0.270000	16.941000	1.003782
0.280000	16.941000	1.003782
0.290000	16.941000	1.505672
0.300000	16.941000	1.003782
0.310000	16.941000	1.003782
0.320000	16.941000	1.003782
0.330000	16.941000	1.003782
0.340000	16.941000	1.003782
0.350000	16.941000	1.003782
0.360000	16.941000	1.003782
0.370000	16.941000	1.003782
0.380000	16.941000	1.003782
0.390000	16.941000	1.003782
0.400000	16.941000	1.003782
0.410000	16.941000	1.003782
0.420000	16.941000	1.003782
0.430000	16.941000	1.505672
0.440000	16.941000	1.003782
0.450000	16.941000	1.003782
0.460000	16.941000	1.003782
0.470000	16.941000	1.003782
0.480000	16.941000	1.003782
0.490000	16.941000	1.003782
0.500000	16.941000	1.003782
0.510000	16.941000	1.003782
0.520000	16.941000	1.003782
0.530000	16.941000	1.003782
0.540000	16.941000	1.003782
0.550000	16.941000	1.003782
0.560000	16.941000	1.003782
0.570000	16.941000	1.003782
0.580000	16.941000	1.003782
0.590000	16.941000	1.003782
0.600000	16.941000	1.003782
0.610000	16.941000	1.003782
0.620000	16.941000	1.003782
0.630000	16.941000	1.003782
0.640000	16.941000	1.003782
0.650000	16.941000	1.003782
0.660000	16.941000	1.003782
0.670000	16.941000	1.003782
0.680000	16.941000	1.003782
0.690000	16.941000	1.003782
0.700000	16.941000	1.003782
0.710000	16.941000	1.003782
0.720000	16.941000	1.003782
0.730000	16.941000	1.003782
0.740000	16.941000	1.003782
0.750000	16.941000	1.003782
0.760000	16.941000	1.003782
0.770000	16.941000	1.003782
0.780000	16.941000	1.003782
0.790000	16.941000	1.003782
0.800000	16.941000	1.003782
0.810000	16.941000	1.003782
0.820000	16.941000	1.003782
0.830000	16.941000	1.003782
0.840000	16.941000	1.003782
0.850000	16.941000	1.003782
0.860000	16.941000	1.003782
0.870000	16.941000	1.003782
0.880000	16.941000	1.003782
0.890000	16.941000	1.003782
0.900000	16.941000	1.003782
0.910000	16.941000	1.003782
0.920000	16.941000	1.003782
0.930000	16.941000	1.505672
0.940000	16.941000	1.003782
0.950000	16.941000	1.003782
0.960000	16.941000	1.003782
0.970000	16.941000	1.003782
0.980000	16.941000	1.003782
0.990000	16.941000	1.003782
1.000000	16.941000	1.003782
1.010000	16.941000	1.003782
1.020000	16.941000	1.003782
1.030000	16.941000	1.003782
