0.000000	17.135000	1.003782
0.010000	17.135000	1.505672
0.020000	17.135000	1.505672
0.030000	17.135000	1.505672
0.040000	17.135000	1.505672
0.050000	17.135000	1.505672
0.060000	17.135000	1.505672
0.070000	17.135000	1.505672
0.080000	17.135000	1.505672
0.090000	17.135000	1.505672
0.100000	17.134000	1.505672
0.110000	17.134000	1.505672
0.120000	17.134000	1.505672
0.130000	17.134000	1.505672
0.140000	17.134000	1.003782
0.150000	17.134000	1.505672
0.160000	17.134000	1.505672
0.170000	17.134000	1.505672
0.180000	17.134000	1.505672
0.190000	17.134000	1.505672
0.200000	17.134000	1.505672
0.210000	17.134000	1.505672
0.220000	17.134000	1.505672
0.230000	17.134000	1.505672
0.240000	17.134000	1.505672
0.250000	17.134000	1.003782
0.260000	17.134000	1.003782
0.270000	17.134000	1.505672
0.280000	17.134000	1.505672
0.290000	17.134000	1.003782
0.300000	17.134000	1.003782
0.310000	17.134000	1.003782
0.320000	17.134000	1.003782
0.330000	17.134000	1.505672
0.340000	17.134000	1.505672
0.350000	17.134000	1.505672
0.360000	17.134000	1.505672
0.370000	17.134000	1.505672
0.380000	17.134000	1.505672
0.390000	17.134000	1.505672
0.400000	17.134000	1.505672
0.410000	17.134000	1.505672
0.420000	17.134000	1.505672
0.430000	17.134000	1.003782
0.440000	17.134000	1.003782
0.450000	17.134000	1.003782
0.460000	17.134000	1.003782
0.470000	17.134000	1.003782
0.480000	17.134000	1.505672
0.490000	17.134000	1.505672
0.500000	17.134000	1.505672
0.510000	17.134000	1.003782
0.520000	17.134000	1.003782
0.530000	17.134000	1.003782
0.540000	17.134000	1.505672
0.550000	17.134000	1.505672
0.560000	17.134000	1.505672
0.570000	17.134000	1.505672
0.580000	17.134000	1.505672
0.590000	17.134000	1.505672
0.600000	17.134000	1.003782
0.610000	17.134000	1.003782
0.620000	17.134000	1.505672
0.630000	17.134000	1.505672
0.640000	17.134000	1.505672
0.650000	17.134000	1.505672
0.660000	17.134000	1.505672
0.670000	17.134000	1.505672
0.680000	17.134000	1.505672
0.690000	17.134000	1.505672
0.700000	17.134000	1.505672
0.710000	17.134000	1.505672
0.720000	17.134000	1.505672
0.730000	17.134000	1.505672
0.740000	17.134000	1.505672
0.750000	17.134000	1.505672
0.760000	17.134000	1.505672
0.770000	17.134000	1.505672
0.780000	17.134000	1.003782
0.790000	17.134000	1.003782
0.800000	17.134000	1.003782
0.810000	17.134000	1.505672
0.820000	17.134000	1.505672
0.830000	17.134000	1.505672
0.840000	17.134000	1.505672
0.850000	17.134000	1.505672
0.860000	17.134000	1.505672
0.870000	17.134000	1.505672
0.880000	17.134000	1.505672
0.890000	17.134000	1.505672
0.900000	17.134000	1.505672
0.910000	17.134000	1.505672
0.920000	17.134000	1.505672
0.930000	17.134000	1.505672
0.940000	17.134000	1.505672
0.950000	17.134000	1.505672
0.960000	17.134000	1.505672
0.970000	17.134000	1.003782
0.980000	17.134000	1.505672
0.990000	17.134000	1.505672
1.000000	17.134000	1.505672
1.010000	17.134000	1.505672
1.020000	17.134000	1.505672
1.030000	17.134000	1.505672
1.040000	17.134000	1.505672
1.050000	17.134000	1.505672
1.060000	17.134000	1.505672
1.070000	17.134000	1.505672
1.080000	17.134000	1.505672
1.090000	17.134000	1.003782
1.100000	17.134000	1.003782
1.110000	17.134000	1.003782
1.120000	17.134000	1.505672
1.130000	17.134000	1.505672
1.140000	17.134000	1.505672
1.150000	17.134000	1.505672
1.160000	17.134000	1.505672
1.170000	17.134046	1.505672
1.180000	17.135378	1.505672
1.190000	17.144267	2.007563
1.200000	17.167181	2.509454
1.210000	17.207969	3.011345
1.220000	17.270427	4.015126
1.230000	17.358854	5.520799
1.240000	17.477430	7.026471
1.250000	17.630166	9.034034
1.260000	17.817720	11.041598
1.270000	18.036446	13.551052
1.280000	18.281180	16.562396
1.290000	18.546749	19.573741
1.300000	18.828635	22.585086
1.310000	19.122339	25.596431
1.320000	19.423568	28.607776
1.330000	19.727594	31.619120
1.340000	20.030081	34.128574
1.350000	20.326913	36.638028
1.360000	20.613663	39.649373
1.370000	20.885803	41.656936
1.380000	21.138557	44.166390
1.390000	21.367434	45.672063
1.400000	21.567744	47.177735
1.410000	21.735264	48.683407
1.420000	21.867595	49.185298
1.430000	21.966688	50.189080
1.440000	22.037070	50.189080
1.450000	22.084136	50.189080
1.460000	22.112940	50.189080
1.470000	22.128053	50.189080
1.480000	22.133941	50.189080
1.490000	22.135013	50.189080
1.500000	22.134615	49.687189
1.510000	22.134326	49.687189
1.520000	22.134357	49.185298
1.530000	22.134472	48.683407
1.540000	22.134525	48.683407
1.550000	22.134199	48.181517
1.560000	22.129998	47.679626
1.570000	22.115030	47.177735
1.580000	22.084241	46.173953
1.590000	22.034017	45.170172
1.600000	21.960279	43.664499
1.610000	21.858653	42.158827
1.620000	21.724634	40.151264
1.630000	21.555604	38.143701
1.640000	21.353068	36.136138
1.650000	21.121591	33.626684
1.660000	20.866665	31.117230
1.670000	20.593190	28.105885
1.680000	20.305581	25.094540
1.690000	20.008019	22.585086
1.700000	19.705197	19.573741
1.710000	19.400936	16.060506
1.720000	19.096947	13.049161
1.730000	18.793486	10.037816
1.740000	18.490246	7.026471
1.750000	18.186747	4.015126
1.760000	17.882986	1.505672
1.770000	17.579499	0.000000
1.780000	17.275851	0.000000
1.790000	16.972151	0.000000
1.800000	16.668850	0.501891
1.810000	16.365728	0.501891
1.820000	16.062162	0.000000
1.830000	15.758582	0.000000
1.840000	15.454965	0.000000
1.850000	15.151283	0.000000
1.860000	14.847803	0.000000
1.870000	14.544694	0.000000
1.880000	14.242911	0.501891
1.890000	13.945993	0.501891
1.900000	13.658922	0.501891
1.910000	13.386521	1.003782
1.920000	13.133412	1.003782
1.930000	12.904193	1.003782
1.940000	12.703405	1.505672
1.950000	12.535395	1.505672
1.960000	12.402459	1.505672
1.970000	12.302839	1.003782
1.980000	12.231730	1.003782
1.990000	12.183809	1.003782
2.000000	12.154395	0.501891
2.010000	12.138957	0.501891
2.020000	12.132933	0.501891
2.030000	12.131889	0.000000
2.040000	12.132363	0.000000
2.050000	12.132688	0.000000
2.060000	12.132743	0.000000
2.070000	12.134737	0.501891
2.080000	12.145493	0.501891
2.090000	12.170962	1.003782
